id,package,nameJa,nameEn,logoIImage,prJa,prEn,urlJa,urlEn,recruitEn,recruitJa
pythonic-exam.com2,Breakfast Sponsor,一般社団法人Pythonエンジニア育成推進協会,"Python Engineer Development Co., ltd.",pythonic-exam_com.png,,,https://www.pythonic-exam.com/,https://www.pythonic-exam.com/en,,
gmo.jp,Diamond,GMOインターネット株式会社,GMOインターネット株式会社,gmo_jp.png,,,,,,
squeeze-inc.co.jp,Gold,株式会社SQUEEZE,SQUEEZE Inc.,squeeze_inc_co_jp.png,株式会社SQUEEZEは「価値の詰まった社会を創る」というミッションのもと、「空き家問題解消による地域活性化」と「⼈材の再発掘・活⽤による⼈材不⾜の解消」に取り組んでいます。主要事業として、宿泊事業者向けのクラウドサービスである「suitebook」、IoTやクラウドソーシングを活⽤したスマートホテル「Minn」や「Theatel」の運営を⾏っています。私たちはテクノロジーの⼒を⽤いて宿泊事業という領域を改⾰し、⼈々がより本質的な働き⽅が実現できるように、社会に貢献していきます。,"At SQUEEZE, our mission is to create a society squeezed full of value. We aim to revitalize areas with an abundance of vacant houses and to solve the lack of human resources. Our primary business is to provide a cloud service「suitebook」to property owners, as well as managing our own smart hotels, 「Minn」and「Theatel」which incorporates IoT and cloud sourcing. With the power of technology, we aim to revolutionize the accommodation business and to create a better working environment.",https://squeeze-inc.co.jp/,https://squeeze-inc.co.jp/,"At SQUEEZE we develop our main products using Python/Django, Go, and Angular. And we adopt Scrum as a development process. We are also aiming to use Python to analyze data and connect with IoT devices. Members of our company actively participate in events, as organizers, staffs, and as an information hub under our core value, “With Our Community”.",SQUEEZEでは主要なプロダクトを、Python/Django、Angularを⽤いて開発しています。また開発プロセスにスクラムを取り⼊れています。今後はIoT機器との連携やデータ分析の分野でもPythonの活⽤を進めていきます。 SQUEEZEではコアバリューの⼀つに `With Our Community`を掲げ、コミュニティ活動を推奨しています。そのため開発メンバーの多くが、イベントの主催、イベントスタッフ、外部への情報発信などを⾏なっており、積極的にコミュニティに関わっています。
r.recruit.co.jp,Gold,アイシン精機,"Aisin Seiki Co., Ltd.",aisin.522f47f.png,,,,,,
scala-com.jp,Gold,（株）スカラコミュニケーションズ,（株）スカラコミュニケーションズ,scala-com_jp.png,,,,,,
xica.net,Gold,株式会社サイカ,"XICA CO.,LTD.",xica_net.png,「すべてのデータに示唆を届けすべての人に幸福を届ける」とミッションを掲げ、統計分析システムの開発・提供を行っています。創業から一貫して「分析のプロ」ではなく「現場のプロ」をユーザー対象としており、従来は専門知識を持つ一部の人しか享受できなかった分析による恩恵を、知識の有無を問わずすべての人々が享受できる世界を目指しています。現在は、テレビCMなどのオフライン広告の効果測定が可能な統計分析ツール「XICA magellan」を提供。国内大手企業を中心に導入され、国内トップのシェアを有しています。,"Our company's mission is ""To show meaning to all data, to deliver happiness to all people"", we now provide a data analysis tool called XICA Magellan which can measure the effects of offline ads such as TV commercials. Our target users are ""business professionals on site"" so data analysis can benefit all even without the statistical expertise, and that's the world we're creating. Many domestic leading companies to begin with have installed our product and we now hold the largest domestic share.",https://xica.net,https://xica.net,"Our development team's catchphrase is ""to choose technology that make the best"". It means that even in this era of drastic change we still hold the attitude to always understand our users' challenges and choose the technology that makes the best for them. Starting from chart rendering on the frontend, to web development on the backend, to data modeling design and implementation of analysis logic, we are hiring companions who would work alongside us on our mission.",開発チームでは「一番を選択し最高にする技術」をキャッチフレーズとしています。これは、急激なエンジニアリングの進歩により技術を使いこなす難易度が劇的に上がった現代においても、常にユーザーに向き合い、ユーザー課題を深く理解することを通して「一番の技術」を選択し、プロダクトをユーザーにとって「最高に価値ある状態」へ導く姿勢を表しています。フロントエンドのデータビジュアライゼーションからデータモデル設計や分析ロジックの実装まで、「すべてのデータに示唆を届ける」挑戦を共にしてくれる仲間を募集しています！
jsl.co.jp,Gold,株式会社 日本システム技研,"Japan System Laboratory Co., Ltd.",jsl_co_jp.jpg,"株式会社日本システム技研(JSL)は「「技術力×人間力」で社会から注目され続ける企業になること」をビジョンに長野でPythonとAWSを中心としたWebの業務を中心に開発をしています。
そして、積極的に外部への情報発信を行うためコワーキングスペースGEEKLAB.NAGANO(ギークラボ・ナガノ)を運営しています。
GEEKLAB.NAGANOは、PythonやDjango、AWS、ディープラーニング、IoTなど
新しい技術に関心があるエンジニアが集まり勉強会を開催しています。","Japan System Laboratory Co.,Ltd. (JSL) ""To become a company that continues to attract attention from society with"" technical power x human power """" in Nagano With the vision, we are developing mainly web operations centered on Python and AWS.
We operate the coworking space GEEKLAB.NAGANO to actively disseminate information to the outside.
At GEEKLAB.NAGANO, engineers who are interested in new technologies such as Python, Django, AWS, deep learning, and IoT gather to hold study sessions.",https://jsl.co.jp/,https://jsl.co.jp/,"We are recruiting web application engineers working in Nagano Prefecture! In addition to web applications, you can rely on AWS design, operation, and mobile application development. Even those with little experience are welcome if they are willing to learn and are motivated! ! This is a challenging work that is no different from a web system development company in the inner city that makes full use of trend technology. In addition, because it is a super flex system without core time, you decide your working hours and break times yourself. If you have a great engineer life in Nagano, why not consider the choice of Japan System Laboratory Co., Ltd.?","長野県で働くWebアプリケーションエンジニアを募集します！
Webアプリケーションのほか、AWS設計・運用・モバイルアプリ開発をおまかせします。
経験が浅い方でも、学習意欲があり、やる気がある方であれば歓迎します！！
トレンド技術を駆使した都心のWebシステム開発会社と変わらないやりがいのある仕事です。
また、コアタイムなしのスーパーフレックス制なので、出勤時間も休憩時間も自分で決めます。
長野で充実したエンジニアライフをすごすなら、日本システム技研という選択肢を考えてみてはどうですか?"
e-seikatsu.co.jp,Gold,いい生活,"e-Seikatsu Co., Ltd.",e-seikatsu_co_jp.png,"人は住むことをやめられません。
いい生活は「全ての人の生活に関わる""不動産市場""を、テクノロジーでより良いものへ。」をミッションに掲げ、不動産業界で起こる売り手と買い手、貸主と借主の情報格差を埋めるため、皆さんがより「いい生活」が行えるようになるためにサービスの提供を行っています。
不動産ビジネスの生産性向上のためのデスクトップツール「ESいい物件One」、住まいに関するコミュニケーションをサポートするスマートフォンアプリケーション「pocketpost」などを開発しています。","We are leading ReTech(Real Estate Technology) company in Japan, and provide many cloud services for both realtors and consumers.
We were founded in 2000, and have been driving innovation in the real estate market for almost 20 years.
Our name, `e-Seikatsu' means `good life' in Japanese, and our mission is ""Make real estate market better with technology"".
We are confident that we can continue to innovate the market in the future.",https://www.e-seikatsu.info/,https://www.e-seikatsu.info/en/,"The server side component of our core product `e-bukken One` is written in Python and running on the microservice architecture.
These services are processing huge amount of information related to real estates, such as property, contracts, customers, and so on.
Thus, we have very big private and public data related to real estate, and we utilize these data for innovating market.
If you are interested in our business, application, technology, or data, please contact us in our booth.
We are hiring!"," 当社が提供しているサービスESいい物件Oneはマイクロサービス化しており、Pythonで書かれています。
 ESいい物件Oneは不動産取引にかかわる様々を支援するクラウドサービスです。
 物件、契約、顧客にかかわる様々な大量な情報をPythonで書かれたプログラムが処理しております。
 我々はさらに業務システムだけでなくこれらのデータをさらに活用し、社会的価値の創造に挑戦します！
 興味がある方はぜひ当社ブースにお越しください。"
prtimes.co.jp,Gold,株式会社PR TIMES,"PR TIMES, Inc.",prtimes_co_jp.png,,,,,,
tohmatsu.co.jp,Gold,デロイト トーマツ ファイナンシャルアドバイザリー合同会社,,DEL_g_PRI_RGB.png,,,,,,
